seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
100,Player 1,31,0,240,72,10,3,0.0,2
100,Player 2,31,1,-20,92,8,3,1.0,2
101,Player 1,14,0,-20,26,6,1,0.0,1
101,Player 2,14,1,10,26,8,1,0.0,1
102,Player 1,20,0,-76,56,10,3,0.0,1
102,Player 2,20,1,66,0,9,2,1.0,1
103,Player 1,16,0,-48,24,8,2,0.0,1
103,Player 2,16,1,508,86,6,2,0.0,1
104,Player 1,11,0,890,10,2,1,0.0,2
104,Player 2,11,1,-80,0,9,1,1.0,2
105,Player 1,22,0,-23,67,9,2,1.0,1
105,Player 2,22,1,193,24,7,4,0.0,1
106,Player 1,26,0,45,60,9,2,0.0,2
106,Player 2,26,1,-25,85,9,3,1.0,2
107,Player 1,18,0,471,54,6,2,0.0,2
107,Player 2,18,1,-51,35,9,2,0.0,2
108,Player 1,15,0,264,0,8,2,1.0,2
108,Player 2,15,1,-34,14,7,1,0.0,2
109,Player 1,36,0,403,302,10,5,1.0,2
109,Player 2,36,1,-73,55,11,5,1.0,2
110,Player 1,59,0,573,159,12,9,1.0,2
110,Player 2,59,1,-73,142,13,7,0.0,2
111,Player 1,21,0,142,48,9,3,0.0,2
111,Player 2,21,1,-2,30,11,3,1.0,2
112,Player 1,38,0,93,55,11,6,1.0,2
112,Player 2,38,1,-53,128,10,4,0.0,2
113,Player 1,26,0,-16,102,10,3,0.0,1
113,Player 2,26,1,66,16,10,3,1.0,1
114,Player 1,30,0,-15,123,6,3,0.0,1
114,Player 2,30,1,305,28,12,5,1.0,1
115,Player 1,14,0,-10,30,8,2,2.0,1
115,Player 2,14,1,260,50,9,3,1.0,1
116,Player 1,22,0,301,49,8,2,0.0,2
116,Player 2,22,1,-21,50,9,3,0.0,2
117,Player 1,41,0,363,123,10,6,0.0,2
117,Player 2,41,1,-53,206,9,4,1.0,2
118,Player 1,136,0,2494,575,13,22,1.0,2
118,Player 2,136,1,1016,599,15,21,1.0,2
119,Player 1,29,0,-15,98,12,3,2.0,1
119,Player 2,29,1,265,73,9,5,0.0,1
120,Player 1,28,0,134,112,9,3,0.0,2
120,Player 2,28,1,-24,76,11,4,0.0,2
121,Player 1,18,0,-18,8,8,1,0.0,1
121,Player 2,18,1,348,70,8,2,1.0,1
122,Player 1,16,0,249,0,9,2,0.0,2
122,Player 2,16,1,-19,39,8,1,0.0,2
123,Player 1,19,0,-46,16,8,2,0.0,1
123,Player 2,19,1,266,20,8,3,0.0,1
124,Player 1,83,0,657,419,14,12,0.0,1
124,Player 2,83,1,753,326,14,13,2.0,1
125,Player 1,43,0,-46,88,13,6,0.0,1
125,Player 2,43,1,36,132,10,6,1.0,1
126,Player 1,36,0,228,94,11,5,0.0,2
126,Player 2,36,1,-8,192,12,6,1.0,2
127,Player 1,51,0,-23,141,10,5,0.0,1
127,Player 2,51,1,283,158,13,6,2.0,1
128,Player 1,31,0,235,70,11,5,0.0,2
128,Player 2,31,1,-15,75,9,4,1.0,2
129,Player 1,48,0,313,246,11,7,1.0,2
129,Player 2,48,1,-3,139,16,8,2.0,2
130,Player 1,10,0,336,24,6,1,0.0,2
130,Player 2,10,1,-26,0,8,1,0.0,2
131,Player 1,27,0,-13,16,11,4,1.0,1
131,Player 2,27,1,223,43,9,3,0.0,1
132,Player 1,42,0,-52,136,14,6,3.0,1
132,Player 2,42,1,82,124,10,6,1.0,1
133,Player 1,48,0,262,93,13,7,1.0,2
133,Player 2,48,1,-2,205,11,9,0.0,2
134,Player 1,44,0,-27,198,13,5,2.0,1
134,Player 2,44,1,457,71,10,6,0.0,1
135,Player 1,82,0,537,287,13,12,0.0,2
135,Player 2,82,1,273,344,15,12,3.0,2
136,Player 1,27,0,-79,61,9,3,0.0,1
136,Player 2,27,1,9,42,13,5,1.0,1
137,Player 1,13,0,-70,26,8,0,1.0,1
137,Player 2,13,1,230,16,6,2,0.0,1
138,Player 1,57,0,-99,170,11,7,1.0,1
138,Player 2,57,1,69,91,15,7,2.0,1
139,Player 1,17,0,-95,53,8,2,0.0,1
139,Player 2,17,1,35,48,8,3,1.0,1
140,Player 1,16,0,419,16,5,3,0.0,2
140,Player 2,16,1,-39,35,9,2,0.0,2
141,Player 1,25,0,55,85,8,2,0.0,2
141,Player 2,25,1,-25,50,12,4,1.0,2
142,Player 1,25,0,-19,124,10,3,1.0,1
142,Player 2,25,1,119,95,10,3,0.0,1
143,Player 1,41,0,-13,146,10,5,0.0,1
