seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
100,Player 1,49,0,25.0,38,9,7,0.0,2
100,Player 2,49,1,-25.0,233,12,6,2.0,2
101,Player 1,48,0,24.0,90,10,7,0.0,2
101,Player 2,48,1,-27.77,166,9,7,0.0,2
102,Player 1,18,0,48.72,18,8,2,0.0,2
102,Player 2,18,1,-5.52,34,6,2,0.0,2
103,Player 1,17,0,-159.19,0,5,1,0.0,1
103,Player 2,17,1,154.53,16,7,3,0.0,1
104,Player 1,8,0,36.72,0,6,1,0.0,2
104,Player 2,8,1,-10.0,10,4,1,0.0,2
105,Player 1,21,0,-100.0,14,8,3,1.0,1
105,Player 2,21,1,197.93,0,6,3,0.0,1
106,Player 1,19,0,-6.69,26,7,3,0.0,1
106,Player 2,19,1,224.0,0,6,2,0.0,1
107,Player 1,12,0,-78.94,14,6,1,1.0,1
107,Player 2,12,1,11.22,0,6,1,0.0,1
108,Player 1,11,0,-21.46,0,5,1,0.0,1
108,Player 2,11,1,381.14,25,4,1,0.0,1
109,Player 1,19,0,-8.0,8,5,3,0.0,1
109,Player 2,19,1,81.36,50,8,3,1.0,1
110,Player 1,10,0,0.0,0,5,1,0.0,2
110,Player 2,10,1,-77.07,0,7,1,1.0,2
111,Player 1,22,0,435.3,29,8,4,0.0,2
111,Player 2,22,1,-25.0,55,7,4,1.0,2
112,Player 1,21,0,-100.0,4,8,2,0.0,1
112,Player 2,21,1,134.3,0,7,2,1.0,1
113,Player 1,39,0,-0.48,127,7,5,0.0,1
113,Player 2,39,1,181.99,58,8,7,1.0,1
114,Player 1,24,0,24.0,39,6,3,0.0,2
114,Player 2,24,1,-23.44,24,8,3,0.0,2
115,Player 1,25,0,0.0,26,8,3,1.0,2
115,Player 2,25,1,-23.72,54,6,3,0.0,2
116,Player 1,13,0,114.92,20,6,1,0.0,2
116,Player 2,13,1,-8.0,18,6,1,0.0,2
117,Player 1,19,0,-18.08,30,6,3,0.0,1
117,Player 2,19,1,111.99,16,5,2,0.0,1
118,Player 1,13,0,-4.0,29,7,2,0.0,1
118,Player 2,13,1,29.0,10,5,0,0.0,1
119,Player 1,35,0,-18.0,18,7,4,0.0,1
119,Player 2,35,1,354.42,36,9,6,0.0,1
120,Player 1,17,0,-80.14,16,5,1,0.0,1
120,Player 2,17,1,178.5,0,7,3,0.0,1
121,Player 1,28,0,-67.82,30,7,4,0.0,1
121,Player 2,28,1,119.38,20,8,4,0.0,1
